window,endmember,rank,mineral,chapter,angle_deg,gap_to_next,library_median_deg,endmember_max_depth,cuprite_reported,flag
SWIR,8,1,s07_AV97_Lazurite_HS418.1B_ASDFRb_AREF,ChapterM_Minerals,24.101249089436518,0.1485783965643641,51.482587110544245,0.06281930735020758,False,
SWIR,8,2,s07_AV97_Pyrrhotite_HS269.1B_ASDFRb_AREF,ChapterM_Minerals,24.249827486000882,,51.482587110544245,0.06281930735020758,False,
SWIR,8,3,s07_AV97_Labradorite_HS17.1B_ASDFRc_AREF,ChapterM_Minerals,24.423892969779786,,51.482587110544245,0.06281930735020758,False,
SWIR,9,1,s07_AV97_Kaolwxl.75+Alun_HS295_AMX14_ASDNGb_AREF,ChapterS_SoilsAndMixtures,10.671016785400044,0.7706931812561741,61.74587809022193,0.2085961180279846,False,
SWIR,9,2,s07_AV97_Alunite0.5+Kaol_KGa-1_AMX3_NIC4bbb_AREF,ChapterS_SoilsAndMixtures,11.441709966656218,,61.74587809022193,0.2085961180279846,True,
SWIR,9,3,s07_AV97_Alunite+Dickite_MV99-6-26b_ASDFRc_AREF,ChapterS_SoilsAndMixtures,12.52693203943217,,61.74587809022193,0.2085961180279846,True,
SWIR,10,1,s07_AV97_Alunite.5+MuscCU91-250A_AMX4_ASDNGa_AREF,ChapterS_SoilsAndMixtures,16.965972095697094,3.026093133346283,56.55996681695554,0.16648016983647118,True,
SWIR,10,2,s07_AV97_Rivadavite_NMNH170164_BECKa_AREF,ChapterM_Minerals,19.992065229043376,,56.55996681695554,0.16648016983647118,False,
SWIR,10,3,s07_AV97_Alun.33+Kaol.33+Musc.33_AMX2_BECKa_AREF,ChapterS_SoilsAndMixtures,20.039415523908865,,56.55996681695554,0.16648016983647118,False,
SWIR,11,1,s07_AV97_Alunite_GDS84_Na03_NIC4aa_RREF,ChapterM_Minerals,7.256653611854431,2.567760819837834,63.8681300863812,0.20479002593487883,True,
SWIR,11,2,s07_AV97_Kalun+kaol+gth_mv2-ar3_ASDFRb_AREF,ChapterS_SoilsAndMixtures,9.824414431692265,,63.8681300863812,0.20479002593487883,False,
SWIR,11,3,s07_AV97_Alun366+.50PyroPYS1A_GDS222_BECKb_AREF,ChapterS_SoilsAndMixtures,9.932437401992052,,63.8681300863812,0.20479002593487883,False,
SWIR,12,1,s07_AV97_Labradorite_HS17.1B_ASDFRc_AREF,ChapterM_Minerals,15.541330403744587,0.7329386268447617,50.0365515029032,0.10838979687247219,False,
SWIR,12,2,s07_AV97_Chalcedony_CU91-6A_ASDNGa_AREF,ChapterM_Minerals,16.27426903058935,,50.0365515029032,0.10838979687247219,True,
SWIR,12,3,s07_AV97_Quartz_HS32.2B_ASDFRc_AREF,ChapterM_Minerals,16.964724606480246,,50.0365515029032,0.10838979687247219,False,
SWIR,13,1,s07_AV97_Brookite_HS443.2B_ASDFRb_AREF,ChapterM_Minerals,17.519063498415807,2.63848125273789,52.036523027656635,0.11873197384703027,False,
SWIR,13,2,s07_AV97_Gypsum_SU2202_BECKa_AREF,ChapterM_Minerals,20.157544751153697,,52.036523027656635,0.11873197384703027,False,
SWIR,13,3,s07_AV97_Arsenopyrite_HS262.1B_ASDFRc_AREF,ChapterM_Minerals,20.234268553263068,,52.036523027656635,0.11873197384703027,False,
SWIR,14,1,s07_AV97_Jarosite_GDS635_Na_Cyprus_ASDNGa_AREF,ChapterM_Minerals,39.1879019922531,0.488414822588922,59.98548678887122,0.02588991494266557,True,
SWIR,14,2,s07_AV97_Psilomelane_HS139.2B_ASDFRb_AREF,ChapterM_Minerals,39.676316814842025,,59.98548678887122,0.02588991494266557,False,
SWIR,14,3,s07_AV97_Chalcopyrite_HS431.3B_ASDFRb_AREF,ChapterM_Minerals,40.310318731749106,,59.98548678887122,0.02588991494266557,False,
VNIR,1,1,s07_AV97_Phlogopite_Sand_Mix_BR93-20_BECKa_AREF,ChapterS_SoilsAndMixtures,40.95158995160842,0.19878026379472402,59.84304635096674,0.019371752161067013,False,FEATURELESS - ID unreliable
VNIR,1,2,s07_AV97_Xenotime_GDS966_Iveland_REE_ASDFRa_AREF,ChapterM_Minerals,41.15037021540314,,59.84304635096674,0.019371752161067013,False,FEATURELESS - ID unreliable
VNIR,1,3,s07_AV97_Sand_DWO-3-DEL2ar1_no_oil_ASDFRa_AREF,ChapterS_SoilsAndMixtures,41.69301595552988,,59.84304635096674,0.019371752161067013,False,FEATURELESS - ID unreliable
VNIR,2,1,s07_AV97_Siderite_HS271.4B_ASDFRa_AREF,ChapterM_Minerals,20.72605223696051,0.7118496290247975,45.79440987456079,0.08462670597842437,False,
VNIR,2,2,s07_AV97_Goethite_WS220_BECKc_AREF,ChapterM_Minerals,21.437901865985307,,45.79440987456079,0.08462670597842437,True,
VNIR,2,3,s07_AV97_Chlorite_Phyllite_CU91-238A_BECKb_AREF,ChapterS_SoilsAndMixtures,22.291047992675885,,45.79440987456079,0.08462670597842437,False,
VNIR,3,1,s07_AV97_Kaolin_Smect_H89-FR-5_.3Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,19.027817635375737,0.2590347551951666,48.92024605316623,0.06099698059670655,True,
VNIR,3,2,s07_AV97_Chromite_HS281.4B_ASDFRc_AREF,ChapterM_Minerals,19.286852390570903,,48.92024605316623,0.06099698059670655,False,
VNIR,3,3,s07_AV97_Kalun+kaol+gth_mv2-ar3_ASDFRb_AREF,ChapterS_SoilsAndMixtures,19.79959890148343,,48.92024605316623,0.06099698059670655,False,
VNIR,4,1,s07_AV97_Hematitic_Alt._Tuff_CU91-223_ASDFRb_AREF,ChapterS_SoilsAndMixtures,8.950211719542347,0.07932632888031144,61.94544312965695,0.32657683058337905,False,
VNIR,4,2,s07_AV97_Hematite_GDS27_BECKa_AREF,ChapterM_Minerals,9.029538048422658,,61.94544312965695,0.32657683058337905,True,
VNIR,4,3,s07_AV97_Alun_Na+Kaol+Hemat_MV00-11a_ASDFRc_AREF,ChapterS_SoilsAndMixtures,15.30923678606325,,61.94544312965695,0.32657683058337905,False,
VNIR,5,1,s07_AV97_Sand_DWO-3-DEL2ar1_no_oil_ASDFRa_AREF,ChapterS_SoilsAndMixtures,28.786955470221834,1.6953851159235853,54.165106237760085,0.03957547353078916,False,
VNIR,5,2,s07_AV97_Rectorite_RAr-1_BECKd_AREF,ChapterM_Minerals,30.48234058614542,,54.165106237760085,0.03957547353078916,False,
VNIR,5,3,s07_AV97_Kaolin-Smect_KLF511_.12Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,31.552865873867603,,54.165106237760085,0.03957547353078916,True,
VNIR,6,1,s07_AV97_Montmorillonite-Na_CU93-52A_BECKc_AREF,ChapterS_SoilsAndMixtures,5.447096552569682,0.0,71.82083879001755,0.08214452556007035,True,
VNIR,6,2,s07_AV97_Stonewall_Playa_CU93-52A_a11_BECKa_AREF,ChapterS_SoilsAndMixtures,5.447096552569682,,71.82083879001755,0.08214452556007035,False,
VNIR,6,3,s07_AV97_Opalized_Tuff_CU00-15E_ASDFRb_AREF,ChapterS_SoilsAndMixtures,16.168024956025125,,71.82083879001755,0.08214452556007035,True,
VNIR,7,1,s07_AV97_Kalun+kaol+gth_mv2-ar3_ASDFRb_AREF,ChapterS_SoilsAndMixtures,16.313438350074968,3.455989009217415,52.17641960807602,0.07977247812918276,False,
VNIR,7,2,s07_AV97_Alun_Na+Kaol+Hemat_MV00-11a_ASDFRc_AREF,ChapterS_SoilsAndMixtures,19.769427359292383,,52.17641960807602,0.07977247812918276,False,
VNIR,7,3,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,20.067290528833578,,52.17641960807602,0.07977247812918276,False,
VNIR,8,1,s07_AV97_Hectorite_SHCa-1_BECKc_AREF,ChapterM_Minerals,42.60854475969275,0.34429614017602717,63.026737111767474,0.043900839124266455,False,
VNIR,8,2,s07_AV97_Sand_DWO-3-DEL2ar1_no_oil_ASDFRa_AREF,ChapterS_SoilsAndMixtures,42.952840899868775,,63.026737111767474,0.043900839124266455,False,
VNIR,8,3,s07_AV97_Cassiterite_HS279.4B_ASDFRc_AREF,ChapterM_Minerals,44.03927727942947,,63.026737111767474,0.043900839124266455,False,
VNIR,9,1,s07_AV97_Gibbsite_WS214_BECKb_AREF,ChapterM_Minerals,23.58357069699939,0.6135258533083565,61.57789590020557,0.0350041759103108,False,
VNIR,9,2,s07_AV97_Rectorite_ISR202_(RAr-1)_BECKd_AREF,ChapterM_Minerals,24.197096550307748,,61.57789590020557,0.0350041759103108,False,
VNIR,9,3,s07_AV97_Kaol+Muscov_intimate_CU93-5C_BECKa_AREF,ChapterS_SoilsAndMixtures,24.61445864788567,,61.57789590020557,0.0350041759103108,True,
VNIR,10,1,s07_AV97_Hematite_GDS69.a_150-250u_BECKb_AREF,ChapterM_Minerals,10.638168167796895,3.804386842788414,43.93873803849998,0.17507591994183813,True,
VNIR,10,2,s07_AV97_Goeth+qtz.5+Jarosite.5_AMX11_BECKb_AREF,ChapterS_SoilsAndMixtures,14.442555010585309,,43.93873803849998,0.17507591994183813,True,
VNIR,10,3,s07_AV97_Anthophyllite_HS286.4B_ASDFRc_AREF,ChapterM_Minerals,15.17104915316353,,43.93873803849998,0.17507591994183813,False,
VNIR,11,1,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,18.15958735466671,0.6238968572625154,54.216153611844064,0.05569504034617545,False,
VNIR,11,2,s07_AV97_Kaolin_Smect_H89-FR-5_.3Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,18.783484211929224,,54.216153611844064,0.05569504034617545,True,
VNIR,11,3,s07_AV97_Kalun+kaol+gth_mv2-ar3_ASDFRb_AREF,ChapterS_SoilsAndMixtures,19.627327978144947,,54.216153611844064,0.05569504034617545,False,
VNIR,12,1,s07_AV97_Montmorillonite-Na_CU93-52A_BECKc_AREF,ChapterS_SoilsAndMixtures,16.656806861738104,0.0,74.06044635491095,0.08080224298889205,True,
VNIR,12,2,s07_AV97_Stonewall_Playa_CU93-52A_a11_BECKa_AREF,ChapterS_SoilsAndMixtures,16.656806861738104,,74.06044635491095,0.08080224298889205,False,
VNIR,12,3,s07_AV97_Almandine_WS477_Garnet_BECKb_AREF,ChapterM_Minerals,19.288505067865962,,74.06044635491095,0.08080224298889205,False,
VNIR,13,1,s07_AV97_Hectorite_SHCa-1_BECKc_AREF,ChapterM_Minerals,22.20941824790145,0.14099738705737508,61.92336240556725,0.04004194838457653,False,
VNIR,13,2,s07_AV97_Gibbsite_WS214_BECKb_AREF,ChapterM_Minerals,22.350415634958825,,61.92336240556725,0.04004194838457653,False,
VNIR,13,3,s07_AV97_Rectorite_ISR202_(RAr-1)_BECKd_AREF,ChapterM_Minerals,24.19355716464556,,61.92336240556725,0.04004194838457653,False,
VNIR,14,1,s07_AV97_Hectorite_SHCa-1_BECKc_AREF,ChapterM_Minerals,22.841139560364816,0.45679830926409437,53.09902042442886,0.06553984961661652,False,
VNIR,14,2,s07_AV97_Kaolin_Smect_H89-FR-5_.3Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,23.29793786962891,,53.09902042442886,0.06553984961661652,True,
VNIR,14,3,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,28.83248281113172,,53.09902042442886,0.06553984961661652,False,
